Journal,Title,DOI
" Journal of Magnetic Resonance Imaging: Vol 54, No 1",Can 3D Pseudo-Continuous Territorial Arterial Spin Labeling Effectively Diagnose Patients With Recanalization of Unilateral Middle Cerebral Artery Stenosis?,https://doi.org/10.1002/jmri.27227
" Journal of Magnetic Resonance Imaging: Vol 54, No 1",Issue Information,https://doi.org/10.1002/jmri.27228
" Journal of Magnetic Resonance Imaging: Vol 54, No 1",Societal and Research Population Biases,https://doi.org/10.1002/jmri.27681
" Journal of Magnetic Resonance Imaging: Vol 54, No 1",MRI-Based Quantitative Osteoporosis Imaging at the Spine and Femur,https://doi.org/10.1002/jmri.27260
" Journal of Magnetic Resonance Imaging: Vol 54, No 1",Diffusion Imaging in the Post HCP Era,https://doi.org/10.1002/jmri.27247
" Journal of Magnetic Resonance Imaging: Vol 54, No 1",Frontiers of Sodium MRI Revisited: From Cartilage to Brain Imaging,https://doi.org/10.1002/jmri.27326
" Journal of Magnetic Resonance Imaging: Vol 54, No 1",Association of Hypertension With Both Occurrence and Outcome of Symptomatic Patients With Mild Intracranial Atherosclerotic Stenosis: A Prospective Higher Resolution Magnetic Resonance Imaging Study,https://doi.org/10.1002/jmri.27516
" Journal of Magnetic Resonance Imaging: Vol 54, No 1",Editorial for “The Occurrence and Outcome of Mild Intracranial Atherosclerotic Stenosis: A Prospective High-Resolution MRI Study”,https://doi.org/10.1002/jmri.27571
" Journal of Magnetic Resonance Imaging: Vol 54, No 1",Intravoxel Incoherent Motion Magnetic Resonance Imaging for Prediction of Induction Chemotherapy Response in Locally Advanced Hypopharyngeal Carcinoma: Comparison With Model-Free Dynamic Contrast-Enhanced Magnetic Resonance Imaging,https://doi.org/10.1002/jmri.27537
" Journal of Magnetic Resonance Imaging: Vol 54, No 1",Editorial for “Intra-voxel incoherent motion (IVIM) MRI for prediction of induction chemotherapy response in locally advanced hypopharyngeal carcinoma: comparison with model-free dynamic contrast-enhanced MRI”,https://doi.org/10.1002/jmri.27621
" Journal of Magnetic Resonance Imaging: Vol 54, No 1",Performance of Prostate Imaging Reporting and Data System Version 2.1 for Diagnosis of Prostate Cancer: A Systematic Review and Meta-Analysis,https://doi.org/10.1002/jmri.27546
" Journal of Magnetic Resonance Imaging: Vol 54, No 1","Quantification of 1.5 T T1 and T2* Relaxation Times of Fetal Tissues in Uncomplicated Pregnancies
                  ",https://doi.org/10.1002/jmri.27547
" Journal of Magnetic Resonance Imaging: Vol 54, No 1",Automated Analysis of Multiparametric Magnetic Resonance Imaging/Magnetic Resonance Elastography Exams for Prediction of Nonalcoholic Steatohepatitis,https://doi.org/10.1002/jmri.27549
" Journal of Magnetic Resonance Imaging: Vol 54, No 1",Editorial for “Automated Analysis of Multiparametric MRI/MRE Exams for Prediction of NASH”,https://doi.org/10.1002/jmri.27540
" Journal of Magnetic Resonance Imaging: Vol 54, No 1",Deep Learning With 3D Convolutional Neural Network for Noninvasive Prediction of Microvascular Invasion in Hepatocellular Carcinoma,https://doi.org/10.1002/jmri.27538
" Journal of Magnetic Resonance Imaging: Vol 54, No 1",Editorial on “Deep Learning with 3D Convolutional Neural Network for Noninvasive Prediction of Microvascular Invasion in Hepatocellular Carcinoma”,https://doi.org/10.1002/jmri.27533
" Journal of Magnetic Resonance Imaging: Vol 54, No 1",Bone Marrow Fat Measured by a Chemical Shift-Encoded Sequence (IDEAL-IQ) in Patients With and Without Metabolic Syndrome,https://doi.org/10.1002/jmri.27548
" Journal of Magnetic Resonance Imaging: Vol 54, No 1",Editorial for “Bone marrow fat measured by a chemical shift-encoded sequence (IDEAL-IQ) in patients with and without metabolic syndrome”,https://doi.org/10.1002/jmri.27645
" Journal of Magnetic Resonance Imaging: Vol 54, No 1",Joint-adjacent Adipose Tissue by MRI is Associated With Prevalence and Progression of Knee Degenerative Changes: Data from the Osteoarthritis Initiative,https://doi.org/10.1002/jmri.27574
" Journal of Magnetic Resonance Imaging: Vol 54, No 1",Plaque Morphologic Quantification Reliability of 3D Whole-Brain Vessel Wall Imaging in Patients With Intracranial Atherosclerotic Disease: A Comparison With Conventional 3D Targeted Vessel Wall Imaging,https://doi.org/10.1002/jmri.27550
" Journal of Magnetic Resonance Imaging: Vol 54, No 1",Can 3D Pseudo-Continuous Territorial Arterial Spin Labeling Effectively Diagnose Patients With Recanalization of Unilateral Middle Cerebral Artery Stenosis?,https://doi.org/10.1002/jmri.27560
" Journal of Magnetic Resonance Imaging: Vol 54, No 1",Editorial for “Can 3D Pseudo-Continuous Territorial Arterial Spin Labeling Diagnose Unilateral Middle Cerebral Artery Stenosis?”,https://doi.org/10.1002/jmri.27660
" Journal of Magnetic Resonance Imaging: Vol 54, No 1",Perinidal Angiogenesis Is a Predictor for Neurovascular Uncoupling in the Periphery of Brain Arteriovenous Malformations: A Task-Based and Resting-State fMRI Study,https://doi.org/10.1002/jmri.27469
" Journal of Magnetic Resonance Imaging: Vol 54, No 1","Automated machine learning to predict the co-occurrence of isocitrate dehydrogenase mutations and O6-methylguanine-DNA methyltransferase promoter methylation in patients with gliomas
                  ",https://doi.org/10.1002/jmri.27498
