Journal,Category,Title,First Published,DOI
" Magnetic Resonance in Medicine: Vol 86, No 4",Cover Image,Multi-echo gradient-recalled-echo phase unwrapping using a Nyquist sampled virtual echo train in the presence of high-field gradients,20 July 2021,https://doi.org/10.1002/mrm.28920
" Magnetic Resonance in Medicine: Vol 86, No 4",Issue Information,Issue Information,20 July 2021,https://doi.org/10.1002/mrm.28373
" Magnetic Resonance in Medicine: Vol 86, No 4",Orbituary,In memoriam: John R. Mallard (1927-2021),06 June 2021,https://doi.org/10.1002/mrm.28838
" Magnetic Resonance in Medicine: Vol 86, No 4",RESEARCH ARTICLE—PRECLINICAL AND CLINICAL SPECTROSCOPY,Spectral fitting strategy to overcome the overlap between 2-hydroxyglutarate and lipid resonances at 2.25 ppm,12 May 2021,https://doi.org/10.1002/mrm.28829
" Magnetic Resonance in Medicine: Vol 86, No 4",RESEARCH ARTICLES—IMAGING METHODOLOGY,"A model selection framework to quantify microvascular liver function in gadoxetate-enhanced MRI: Application to healthy liver, diseased tissue, and hepatocellular carcinoma",11 May 2021,https://doi.org/10.1002/mrm.28798
" Magnetic Resonance in Medicine: Vol 86, No 4",RESEARCH ARTICLES—IMAGING METHODOLOGY,Pulseq-CEST: Towards multi-site multi-vendor compatibility and reproducibility of CEST experiments using an open-source sequence standard,07 May 2021,https://doi.org/10.1002/mrm.28825
" Magnetic Resonance in Medicine: Vol 86, No 4",RESEARCH ARTICLES—IMAGING METHODOLOGY,Systematic evaluation of iterative deep neural networks for fast parallel MRI reconstruction with sensitivity-weighted coil combination,10 June 2021,https://doi.org/10.1002/mrm.28827
" Magnetic Resonance in Medicine: Vol 86, No 4",RESEARCH ARTICLES—IMAGING METHODOLOGY,Local perturbation responses and checkerboard tests: Characterization tools for nonlinear MRI methods,03 June 2021,https://doi.org/10.1002/mrm.28828
" Magnetic Resonance in Medicine: Vol 86, No 4",RESEARCH ARTICLES—IMAGING METHODOLOGY,Sources of systematic error in DCE-MRI estimation of low-level blood-brain barrier leakage,18 May 2021,https://doi.org/10.1002/mrm.28833
" Magnetic Resonance in Medicine: Vol 86, No 4",RESEARCH ARTICLES—IMAGING METHODOLOGY,Real-time deep artifact suppression using recurrent U-Nets for low-latency cardiac MRI,25 May 2021,https://doi.org/10.1002/mrm.28834
" Magnetic Resonance in Medicine: Vol 86, No 4",RESEARCH ARTICLES—IMAGING METHODOLOGY,"Three-dimensional assessment of brain arterial compliance: Technical development, comparison with aortic pulse wave velocity, and age effect",12 May 2021,https://doi.org/10.1002/mrm.28835
" Magnetic Resonance in Medicine: Vol 86, No 4",RESEARCH ARTICLES—IMAGING METHODOLOGY,Phase contrast coronary blood velocity mapping with both high temporal and spatial resolution using triggered Golden Angle rotated Spiral k-t Sparse Parallel imaging (GASSP) with shifted binning,12 May 2021,https://doi.org/10.1002/mrm.28837
" Magnetic Resonance in Medicine: Vol 86, No 4",RESEARCH ARTICLES—IMAGING METHODOLOGY,Effects of motion and retrospective motion correction on the visualization and quantification of perivascular spaces in ultrahigh resolution T2-weighted images at 7T,19 May 2021,https://doi.org/10.1002/mrm.28847
" Magnetic Resonance in Medicine: Vol 86, No 4",RESEARCH ARTICLES—IMAGING METHODOLOGY,Characterization and correction of cardiovascular motion artifacts in diffusion-weighted imaging of the pancreas,17 June 2021,https://doi.org/10.1002/mrm.28846
" Magnetic Resonance in Medicine: Vol 86, No 4",RESEARCH ARTICLES—IMAGING METHODOLOGY,Motion-insensitive susceptibility weighted imaging,02 June 2021,https://doi.org/10.1002/mrm.28850
" Magnetic Resonance in Medicine: Vol 86, No 4",RESEARCH ARTICLES—IMAGING METHODOLOGY,End-to-end deep learning nonrigid motion-corrected reconstruction for highly accelerated free-breathing coronary MRA,06 June 2021,https://doi.org/10.1002/mrm.28851
" Magnetic Resonance in Medicine: Vol 86, No 4",RESEARCH ARTICLES—IMAGING METHODOLOGY,Autocalibrating segmented diffusion-weighted acquisitions,31 May 2021,https://doi.org/10.1002/mrm.28854
